type,experience,RNusage,RNcreation,fixBugs,newFeatures,newCC,modifiedCC,enhancedFeatures,refactorings,documentation,librariesUp,deprecatedCC,deletedCC,configFiles,visibilityCC,testSuites,knownIssues,replacedCC,architecture,licensesChanges,RNcreationTime,RNcreationDiff,RNcreationTool,RNcreationToolWhich,ACfamiliarity,O_AC_majorChanges,O_AC_diffCatClassMeth,O_AC_newMethUtilsCat,O_AC_author,A_AC_improvements,A_AC_deletedCC,A_AC_deprecatedCC,A_AC_refactoring,A_AC_fineGrainedChanges,A_AC_issueTrackLink,A_AC_nItems,L_familiarity,O_L_optimizations,O_L_backCompatibility,O_L_apiChanges,O_L_build,O_L_documentation,O_L_author,A_L_improvements,A_L_deletedCC,A_L_deprecatedCC,A_L_refactoring,A_L_fineGrainedChanges,A_L_CCvisibility,A_L_addedCC,A_L_modifiedCC,A_L_knownIssues
"ProfessionalDeveloper",11,3,4,3,4,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,"No",0,1,3,2,3,1,3,2,3,2,2,2,1,2,3,3,3,2,2,1,4,3,3,1,1,2,3,1,3
"ProfessionalDeveloper",20,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"No",0,1,3,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,4,1,1,1,4
"ProfessionalDeveloper",6,3,4,3,4,2,2,3,1,2,3,2,2,2,1,1,2,1,1,1,2,2,"Yes.__Which_one?","git",3,4,1,2,2,3,2,2,1,1,2,1,1,2,3,3,2,2,1,3,1,1,1,1,1,2,1,3
"ProfessionalDeveloper",20,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,"Yes.__Which_one?","Git...",4,4,4,4,2,4,4,3,4,4,4,2,2,3,4,4,3,3,3,3,0,3,4,4,4,4,3,4
"OpenSourceDeveloper",25,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,3,4,4,1,2,4,2,2,3,4,4,2,2,2,3,4,4,1,2,3,3,2,3
"ProfessionalDeveloper",7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,2,3,3,4,2,2,2,3,2,3,4,4,2,2,2,0,0,0,0,0,0,0,0,0
"ProfessionalDeveloper",20,2,4,4,4,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,2,3,"No",0,3,4,1,1,3,4,3,1,1,1,3,1,3,3,4,4,1,1,3,4,3,1,0,0,0,0,0,0
"ProfessionalDeveloper",4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ProfessionalDeveloper",4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,3,4,3,3,3,3,4,3,2,3,1,3,2,1,4,4,3,3,2,2,3,3,2,3
"ProfessionalDeveloper",4,3,4,4,4,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,2,"No",0,3,3,2,2,1,3,3,3,1,3,3,3,1,3,4,3,3,2,1,3,3,3,1,3,3,3,1,3
"ProfessionalDeveloper",4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,2,4,3,3,2,1,4,1,3,2,2,4,2,2,2,4,2,3,2,2,2,2,2,3
"ProfessionalDeveloper",10,3,4,3,3,3,3,3,1,1,2,1,3,2,1,1,1,1,2,1,1,1,"No",0,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ProfessionalDeveloper",10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,3,3,3,3,2,2,3,2,2,2,4,3,2,2,3,3,3,3,2,2,3,3,2,4
"ProfessionalDeveloper",8,4,4,4,4,2,4,4,3,1,2,2,2,1,1,2,4,3,2,2,1,2,"Yes.__Which_one?","Generally_look_at_our_ticketing_system_(Pivotal_Tracker_JIRA_etc)_and_then_pick_the_major_features_that_were_in_the_release_for_the_notes.",3,4,2,2,3,4,3,3,2,2,3,2,1,3,4,4,2,3,3,4,3,3,2,2,3,3,2,4
"ProfessionalDeveloper",8,4,4,4,4,2,2,4,3,3,4,4,4,3,4,2,1,2,3,4,1,2,"Yes.__Which_one?","Issue_tracking_system_specific_to_each_project_usually_exporting_fixed_/_changed_issues_for_currently_release_(milestone)",1,4,3,3,3,4,4,3,2,3,4,3,3,3,4,4,3,3,2,3,4,3,2,2,4,3,2,4
"ProfessionalDeveloper",5,4,2,4,3,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,2,2,"No",0,2,2,3,2,3,3,3,2,2,3,3,3,2,3,4,3,3,3,3,3,3,2,2,3,3,3,3,3
"OpenSourceDeveloper",14,4,4,4,4,4,4,4,2,2,3,4,4,1,3,2,4,3,1,4,3,4,"No",0,3,3,1,2,2,3,4,4,2,4,4,3,4,2,3,3,3,3,2,3,4,4,2,4,4,4,3,4
"ProfessionalDeveloper",10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,1,4,4,4,1,3,2,3,3,1,4,3,2,1,1,4,4,4,1,4,3,3,3,3
"ProfessionalDeveloper",20,3,4,4,4,4,4,2,2,2,3,4,4,1,3,2,2,4,2,3,4,3,"No",0,3,4,1,2,1,3,4,4,2,4,3,4,2,3,4,4,2,2,2,3,4,4,2,4,3,3,2,4
"ProfessionalDeveloper",5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,4,3,3,3,4,3,3,3,2,2,3,3,4,2,3,3,3,3,3,3,2,2,3,3,3
"ProfessionalDeveloper",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,2,4,2,3,0,3,3,2,2,3,0,4,0,2,1,4,2,3,2,0,3,4,3,2
"ProfessionalDeveloper",4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,2,4,3,3,3,3,4,3,2,3,3,4,3,4,2,4,4,4,4,3,4,4,4,4
"ProfessionalDeveloper",8,4,4,4,4,3,3,3,3,3,4,4,4,2,3,2,4,4,2,4,3,4,"No",0,3,3,1,1,1,3,4,4,1,4,4,2,2,3,4,4,2,3,1,3,4,4,1,4,4,3,3,4
"ProfessionalDeveloper",6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,2,3,3,3,2,2,3,0,2,3,3,3,2,2,2,2,3,3,2,2,3,3,2,3
"ProfessionalDeveloper",10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,1,2,3,3,2,3,3,3,3,3,3,3,2,2,0,3,2,2,2,2,2,2,2,3
"ProfessionalDeveloper",30,2,4,4,4,1,2,4,1,4,4,3,3,4,4,1,4,3,3,4,3,3,"No",0,1,3,3,2,1,2,3,3,2,2,2,1,2,2,3,3,2,3,1,2,3,3,2,2,4,3,2,3
"ProfessionalDeveloper",4,4,2,3,4,2,2,4,1,3,3,4,3,3,3,2,3,3,3,4,1,2,"Yes.__Which_one?","git_log_issue_trackers",1,4,3,2,2,4,3,4,1,3,4,3,1,2,4,3,2,2,2,4,3,3,2,4,3,2,1,1
"ProfessionalDeveloper",4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,1,3,4,3,2,4,3,1,1,2,2,2,4,1,1,3,4,2,2,2,4,4,2,4
"ProfessionalDeveloper",15,4,4,4,4,4,4,3,3,1,4,4,4,1,3,1,4,4,1,4,4,4,"No",0,4,3,1,1,3,3,4,4,3,4,4,4,3,3,4,4,2,2,1,3,4,4,2,4,4,4,3,4
"ProfessionalDeveloper",3,4,4,4,3,3,3,3,2,2,2,3,3,1,1,2,1,2,2,1,1,1,"Yes.__Which_one?","git",2,4,3,3,1,3,2,2,2,3,3,2,2,3,3,3,3,3,1,3,2,2,2,3,2,2,3,4
"OpenSourceDeveloper",22,4,4,4,4,3,3,3,3,2,4,4,4,1,4,2,4,4,2,4,3,3,"No",0,3,3,2,1,1,3,4,4,3,4,4,3,3,3,3,4,1,1,1,3,4,4,3,4,4,3,4,4
"OpenSourceDeveloper",8,3,4,4,4,4,4,4,3,1,4,4,4,1,4,2,4,3,3,4,3,4,"No",0,2,2,1,1,1,3,4,4,3,4,4,1,4,3,4,4,2,1,1,3,4,4,3,4,4,4,4,4
"OpenSourceDeveloper",9,3,4,4,4,3,3,3,3,3,4,4,4,2,3,2,4,4,3,4,4,4,"No",0,3,4,1,1,1,3,4,4,3,4,4,3,2,3,4,4,2,2,2,3,3,3,3,4,3,3,3,3
"ProfessionalDeveloper",24,4,4,4,4,4,4,4,3,3,4,4,4,1,4,1,4,3,3,3,3,3,"No",0,2,4,2,1,1,4,4,4,3,4,4,2,2,4,4,4,1,2,1,4,4,4,3,4,4,4,3,4
"OpenSourceDeveloper",7,3,4,4,4,4,4,4,3,3,4,4,4,2,4,3,4,4,3,4,4,4,"No",0,4,4,2,2,3,4,4,4,3,4,4,2,2,4,4,4,3,1,2,4,4,4,3,4,4,4,4,4
"OpenSourceDeveloper",13,4,4,4,4,3,3,3,3,3,4,4,4,2,3,3,4,4,2,4,3,3,"No",0,3,3,2,2,2,3,4,4,3,4,4,3,3,4,3,4,2,2,2,3,4,4,3,4,4,3,4,4
"ProfessionalDeveloper",21,4,4,4,4,4,4,4,4,3,4,4,4,1,4,3,4,4,2,3,4,3,"Yes.__Which_one?","Just_dumps_from_issue_trackers",3,4,2,2,2,4,4,4,3,4,3,1,4,4,4,4,2,3,2,4,4,4,3,4,4,4,4,4
"ProfessionalDeveloper",3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,3,1,3,2,3,2,2,3,2,2,3,3,2,3,2,1,3,3,2,2,2,2,3,2,3